Field variables file

Angle of attack:         0                   
Mach:                    0.7                 
Field cells:             675                 

              x              y              z            U_x            U_y            U_z           Mach          Sigma
      0.0111111              3      -0.266667        1.01417    0.000334597      -0.065458       0.712545       0.146861
      0.0555556              3      -0.266667        1.02729    0.000302931     -0.0652299       0.722661       0.152232
            0.1              3      -0.266667        1.04017    0.000269317     -0.0610473       0.732456       0.139436
       0.144444              3      -0.266667        1.05141    0.000233729     -0.0534563       0.740879       0.113457
       0.188889              3      -0.266667        1.06013     0.00019631     -0.0435018       0.747332      0.0816166
       0.233333              3      -0.266667        1.06606    0.000157341     -0.0322906       0.751669      0.0498186
       0.277778              3      -0.266667        1.06936    0.000117191     -0.0207281        0.75403      0.0213679
       0.322222              3      -0.266667        1.07036    7.62513e-05    -0.00944826        0.75469    -0.00252361
       0.366667              3      -0.266667        1.06945    3.49105e-05     0.00115245       0.753947     -0.0218545
       0.411111              3      -0.266667        1.06702   -6.47587e-06      0.0108512       0.752077     -0.0371663
       0.455556              3      -0.266667        1.06336   -4.75855e-05      0.0195387        0.74931     -0.0491637
            0.5              3      -0.266667        1.05875   -8.81335e-05      0.0271738       0.745832     -0.0585306
       0.544444              3      -0.266667        1.05339   -0.000127877      0.0337507       0.741787     -0.0658532
       0.588889              3      -0.266667        1.04743   -0.000166602      0.0392769       0.737287     -0.0715883
       0.633333              3      -0.266667          1.041   -0.000204129      0.0437575       0.732421      -0.076048
       0.677778              3      -0.266667        1.03421   -0.000240304      0.0471853       0.727262     -0.0793826
       0.722222              3      -0.266667        1.02716   -0.000275003      0.0495345       0.721884     -0.0815527
       0.766667              3      -0.266667        1.01997   -0.000308136      0.0507607       0.716371     -0.0822957
       0.811111              3      -0.266667         1.0128   -0.000339641      0.0508092       0.710837     -0.0811048
       0.855556              3      -0.266667        1.00585   -0.000369495      0.0496382        0.70544     -0.0772807
            0.9              3      -0.266667       0.999394   -0.000397716      0.0472594       0.700393     -0.0701481
       0.944444              3      -0.266667       0.993754   -0.000424356      0.0437914       0.695944     -0.0595013
       0.988889              3      -0.266667       0.989214    -0.00044949      0.0394974       0.692327     -0.0461065
        1.03333              3      -0.266667       0.985938   -0.000473187      0.0347649       0.689683     -0.0317604
        1.07778              3      -0.266667       0.983905   -0.000495495      0.0300126       0.688008     -0.0185816
        1.12222              3      -0.266667       0.982926   -0.000516428      0.0255781       0.687164    -0.00803731
        1.16667              3      -0.266667       0.982734   -0.000535973      0.0216557       0.686945   -0.000538393
        1.21111              3      -0.266667       0.983065   -0.000554107      0.0183075       0.687147     0.00428142
        1.25556              3      -0.266667        0.98371   -0.000570812      0.0155083       0.687603     0.00708656
            1.3              3      -0.266667       0.984519   -0.000586079      0.0131924       0.688196     0.00851871
        1.34444              3      -0.266667       0.985397    -0.00059991      0.0112826       0.688849     0.00907535
        1.38889              3      -0.266667       0.986284   -0.000612319     0.00970603       0.689516     0.00910202
        1.43333              3      -0.266667       0.987147    -0.00062333     0.00839979       0.690167     0.00882435
        1.47778              3      -0.266667       0.987967   -0.000632978     0.00731194       0.690789     0.00838422
      -0.477778              3           -0.2       0.981155    0.000592203     -0.0106549         0.6856     -0.0170457
      -0.433333              3           -0.2       0.979417    0.000576561     -0.0126886        0.68429     -0.0185946
      -0.388889              3           -0.2        0.97751    0.000559453     -0.0152609       0.682861     -0.0198673
      -0.344444              3           -0.2       0.975462    0.000540902     -0.0185492       0.681342     -0.0204006
           -0.3              3           -0.2       0.973356    0.000520954     -0.0227932       0.679804     -0.0193113
      -0.255556              3           -0.2       0.971375      0.0004997     -0.0283058       0.678404     -0.0149669
      -0.211111              3           -0.2       0.969892     0.00047727     -0.0354648       0.677454    -0.00449359
      -0.166667              3           -0.2       0.969608    0.000453855     -0.0446386       0.677526      0.0166955
      -0.122222              3           -0.2       0.971708    0.000429675     -0.0559511       0.679571      0.0544136
     -0.0777778              3           -0.2       0.977873    0.000404911     -0.0687709       0.684893       0.111811
     -0.0333333              3           -0.2         0.9897    0.000379499     -0.0810437       0.694635       0.180146
      0.0111111              3           -0.2        1.00729    0.000352891     -0.0893072       0.708654         0.2329
      0.0555556              3           -0.2        1.02812    0.000324094     -0.0904125       0.724781       0.242729
            0.1              3           -0.2        1.04816    0.000292077     -0.0837423       0.739893        0.20863
       0.144444              3           -0.2        1.06434    0.000256339     -0.0712533       0.751801       0.152314
       0.188889              3           -0.2        1.07555     0.00021703     -0.0556968       0.759872      0.0947234
       0.233333              3           -0.2        1.08212    0.000174752     -0.0392708       0.764469      0.0459312
       0.277778              3           -0.2        1.08488    0.000130323     -0.0233215       0.766285     0.00803895
       0.322222              3           -0.2        1.08473    8.45629e-05    -0.00854063       0.765994     -0.0202216
       0.366667              3           -0.2         1.0824    3.82397e-05     0.00478081       0.764142     -0.0409427
       0.411111              3           -0.2        1.07847   -7.99499e-06      0.0165698       0.761137     -0.0560769
       0.455556              3           -0.2        1.07335   -5.35856e-05      0.0268616       0.757274     -0.0671985
            0.5              3           -0.2        1.06734   -9.80942e-05      0.0357376       0.752758     -0.0755167
       0.544444              3           -0.2        1.06064    -0.00014116      0.0432894       0.747728     -0.0819416
       0.588889              3           -0.2        1.05339    -0.00018251      0.0495979       0.742276     -0.0871439
       0.633333              3           -0.2        1.04567   -0.000221926      0.0547177       0.736457     -0.0915935
       0.677778              3           -0.2        1.03754   -0.000259251      0.0586664       0.730304     -0.0955642
       0.722222              3           -0.2        1.02905   -0.000294371       0.061413       0.723842     -0.0990926
       0.766667              3           -0.2        1.02025   -0.000327222      0.0628687       0.717107      -0.101871
       0.811111              3           -0.2        1.01126   -0.000357807      0.0628831       0.710173      -0.103065
       0.855556              3           -0.2         1.0023   -0.000386196      0.0612619       0.703204       -0.10109
            0.9              3           -0.2        0.99377   -0.000412557      0.0578338       0.696506      -0.093625
       0.944444              3           -0.2       0.986294   -0.000437168      0.0526021        0.69056     -0.0785469
       0.988889              3           -0.2       0.980563   -0.000460364       0.045946       0.685925     -0.0562752
        1.03333              3           -0.2       0.977022   -0.000482447      0.0386677       0.682983     -0.0314565
        1.07778              3           -0.2       0.975575   -0.000503567      0.0316921       0.681686     -0.0103229
        1.12222              3           -0.2        0.97568   -0.000523714      0.0256461       0.681631     0.00390043
        1.16667              3           -0.2       0.976705   -0.000542774      0.0207267       0.682324       0.011734
        1.21111              3           -0.2       0.978165   -0.000560621      0.0168488       0.683382      0.0152027
        1.25556              3           -0.2       0.979765   -0.000577156      0.0138238       0.684567      0.0161491
            1.3              3           -0.2       0.981345   -0.000592318      0.0114607       0.685752      0.0157909
        1.34444              3           -0.2       0.982833   -0.000606077     0.00960102       0.686874      0.0148287
        1.38889              3           -0.2       0.984199    -0.00061843     0.00812262       0.687909      0.0136372
        1.43333              3           -0.2       0.985439    -0.00062939     0.00693447       0.688851      0.0124069
        1.47778              3           -0.2       0.986556   -0.000638985     0.00596923       0.689701      0.0112292
      -0.477778              3      -0.133333       0.978685    0.000596806    -0.00777874       0.683692     -0.0232808
      -0.433333              3      -0.133333       0.976264    0.000581227    -0.00939806       0.681854     -0.0269937
      -0.388889              3      -0.133333       0.973426    0.000564209     -0.0115108       0.679706     -0.0313462
      -0.344444              3      -0.133333       0.970088    0.000545808     -0.0143213        0.67719     -0.0362965
           -0.3              3      -0.133333        0.96617    0.000526122     -0.0181419       0.674255     -0.0415269
      -0.255556              3      -0.133333       0.961621    0.000505345     -0.0234578       0.670883     -0.0460039
      -0.211111              3      -0.133333       0.956517      0.0004838     -0.0310303        0.66717      -0.046898
      -0.166667              3      -0.133333       0.951298    0.000462082     -0.0420262       0.663533     -0.0370504
      -0.122222              3      -0.133333       0.947354    0.000441182     -0.0580457       0.661187    4.33333e-05
     -0.0777778              3      -0.133333        0.94818    0.000422623     -0.0804357       0.663047      0.0942048
     -0.0333333              3      -0.133333       0.960202    0.000408127      -0.107322       0.674134       0.262883
      0.0111111              3      -0.133333       0.988395    0.000397301       -0.12892       0.697516       0.421021
      0.0555556              3      -0.133333        1.02602    0.000385096      -0.132613       0.726697       0.422619
            0.1              3      -0.133333        1.05897    0.000364533       -0.11801       0.750863       0.300226
       0.144444              3      -0.133333        1.08077    0.000332118     -0.0942613       0.766083       0.170212
       0.188889              3      -0.133333        1.09263    0.000288287     -0.0687414       0.773917      0.0759925
       0.233333              3      -0.133333        1.09754    0.000235372     -0.0447965       0.776825      0.0148293
