Field variables file

Angle of attack:         0                   
Mach:                    0.8                 
Field cells:             675                 

              x              y              z            U_x            U_y            U_z           Mach          Sigma
            0.1              3      -0.266667        1.10889    0.000991184      -0.117756       0.906334        1.10536
       0.144444              3      -0.266667        1.16649     0.00105342     -0.0968209       0.959396       0.951721
       0.188889              3      -0.266667        1.20068     0.00105178      -0.064966       0.990636       0.301941
       0.233333              3      -0.266667        1.20376    0.000994286     -0.0331665       0.992383      -0.267354
       0.277778              3      -0.266667        1.18918    0.000918625    -0.00839544        0.97764      -0.398437
       0.322222              3      -0.266667        1.17039    0.000839469      0.0105157       0.959342      -0.394825
       0.366667              3      -0.266667        1.15156     0.00076236      0.0253995       0.941366       -0.35296
       0.411111              3      -0.266667        1.13387    0.000688241      0.0374294       0.924734       -0.31465
       0.455556              3      -0.266667         1.1174    0.000617469      0.0472412       0.909436      -0.280058
            0.5              3      -0.266667        1.10198    0.000549424      0.0553085       0.895243      -0.256492
       0.544444              3      -0.266667        1.08725     0.00048366      0.0618996       0.881763        -0.2404
       0.588889              3      -0.266667        1.07289    0.000419745      0.0671745       0.868687       -0.23082
       0.633333              3      -0.266667        1.05867    0.000357481      0.0711909        0.85577      -0.225035
       0.677778              3      -0.266667        1.04446    0.000296847      0.0739403       0.842878      -0.221011
       0.722222              3      -0.266667        1.03025    0.000237974      0.0753696       0.829972      -0.217056
       0.766667              3      -0.266667        1.01609    0.000181117      0.0753922       0.817101      -0.211737
       0.811111              3      -0.266667        1.00216     0.00012667      0.0738935       0.804411      -0.203429
       0.855556              3      -0.266667       0.988803    7.52607e-05      0.0707409       0.792189      -0.189623
            0.9              3      -0.266667       0.976578    2.78566e-05      0.0658366       0.780941      -0.166679
       0.944444              3      -0.266667       0.966337   -1.42765e-05      0.0592507       0.771433      -0.131425
       0.988889              3      -0.266667       0.959024   -5.00337e-05      0.0513989       0.764531      -0.085127
        1.03333              3      -0.266667       0.955203   -7.92058e-05      0.0430815       0.760776      -0.036223
        1.07778              3      -0.266667        0.95465   -0.000102733      0.0352081           0.76     0.00424338
        1.12222              3      -0.266667       0.956487   -0.000122116      0.0284027       0.761429      0.0307272
        1.16667              3      -0.266667       0.959687   -0.000138709      0.0228667       0.764139      0.0444506
        1.21111              3      -0.266667       0.963453   -0.000153429      0.0185105       0.767405      0.0494535
        1.25556              3      -0.266667       0.967298   -0.000166801      0.0151319       0.770777      0.0494792
            1.3              3      -0.266667       0.970973   -0.000179083      0.0125229       0.774022      0.0470706
        1.34444              3      -0.266667       0.974378   -0.000190384      0.0105102       0.777041      0.0437327
        1.38889              3      -0.266667        0.97749   -0.000200734     0.00896115       0.779811      0.0402958
        1.43333              3      -0.266667       0.980332   -0.000210123     0.00777783       0.782346      0.0371965
        1.47778              3      -0.266667       0.982945   -0.000218527     0.00688789       0.784681      0.0346412
      -0.477778              3           -0.2        0.97173    0.000966359     -0.0109794       0.774681     -0.0702514
      -0.433333              3           -0.2       0.966213    0.000947449     -0.0127686       0.769781     -0.0766892
      -0.388889              3           -0.2       0.960057    0.000926196     -0.0152227       0.764334     -0.0844504
      -0.344444              3           -0.2       0.953136    0.000902566     -0.0185573       0.758242     -0.0929059
           -0.3              3           -0.2       0.945376     0.00087671     -0.0230989       0.751459      -0.100709
      -0.255556              3           -0.2       0.936828    0.000849144     -0.0293446       0.744067      -0.104951
      -0.211111              3           -0.2       0.927849    0.000821121     -0.0380368       0.736443     -0.0994548
      -0.166667              3           -0.2       0.919485    0.000795335     -0.0502213        0.72962     -0.0714993
      -0.122222              3           -0.2       0.914216    0.000777124     -0.0671302        0.72596     0.00315394
     -0.0777778              3           -0.2        0.91703    0.000775779     -0.0894547       0.730082       0.162086
     -0.0333333              3           -0.2       0.935686    0.000803818      -0.115454       0.748917       0.438209
      0.0111111              3           -0.2        0.97764    0.000871943      -0.138925       0.788713       0.819191
      0.0555556              3           -0.2        1.04481    0.000984988      -0.150847       0.850769         1.2655
            0.1              3           -0.2        1.13203     0.00113508      -0.143891       0.931094        1.72099
       0.144444              3           -0.2        1.21686     0.00124953      -0.114684        1.01026        1.52146
       0.188889              3           -0.2        1.25998     0.00123545     -0.0712012        1.05021       0.174761
